NAME,TEAM,SALARY,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER,RK,Duration
MarcGasol,Memphis Grizzlies,3573333,C,81,31.9,11.7,4.5,8.5,52.7,0,0.1,42.9,2.7,3.6,74.8,7,2.5,0.9,1.7,1.8,14,0,16.88,84,2010-2011
MarcinGortat,Phoenix Suns,6322320,C,80,25.4,10.2,4.2,7.5,56.1,0,0.1,25,1.8,2.4,72.5,7.9,0.9,0.5,1.1,1,24,0,17.83,105,2010-2011
MauriceEvans,Washington Wizards,2500000,SG,73,21.2,6.3,2.4,5.8,41.7,0.8,2.3,32.9,0.7,0.8,89.7,2.1,0.6,0.5,0.2,0.5,0,0,9.09,160,2010-2011
MettaWorldPeace,Los Angeles Lakers,6322320,SF,82,29.4,8.5,3.2,8,39.7,1,2.8,35.6,1.1,1.7,67.6,3.3,2.1,1.5,0.4,1.1,0,0,11.26,130,2010-2011
MichaelBeasley,Minnesota Timberwolves,4962240,F,73,32.3,19.2,7.7,17.1,45,0.8,2.2,36.6,3,4,75.3,5.6,2.2,0.7,0.7,2.7,8,0,15.54,20,2010-2011
MikeConley,Memphis Grizzlies,4913077,PG,81,35.5,13.7,5.2,11.8,44.4,1,2.7,36.9,2.2,3,73.3,3,6.5,1.8,0.2,2.2,7,0,15.9,64,2010-2011
NazrMohammed,Charlotte Bobcats,6883800,C,75,17.1,7.1,3.1,6,52.2,0,0,0,0.9,1.5,59.8,4.9,0.3,0.4,0.7,0.9,3,0,15.98,151,2010-2011
NenadKrstic,Oklahoma City Thunder,5543116,C,71,22.1,8.1,3.3,6.4,51.1,0,0,0,1.6,2.1,77.4,4.7,0.4,0.4,0.4,0.8,3,0,13.17,136,2010-2011
NeneHilario,Denver Nuggets,11360000,C,75,30.5,14.5,5.4,8.7,61.5,0,0.1,20,3.8,5.4,71.1,7.6,2,1.1,1,1.8,14,0,20.49,52,2010-2011
NickCollison,Oklahoma City Thunder,13270000,F,71,21.5,4.6,1.9,3.4,56.6,0,0,0,0.8,1,75.3,4.5,1,0.6,0.4,0.8,1,0,10.82,175,2010-2011
